modeldate,state,Trump,Biden
9/13/20,Wyoming,0.99795,0.00205
9/13/20,Wisconsin,0.220775,0.779225
9/13/20,West Virginia,0.99335,0.00665
9/13/20,Washington,0.01005,0.98995
9/13/20,Virginia,0.049,0.951
9/13/20,Vermont,0.00765,0.99235
9/13/20,Utah,0.954725,0.045275
9/13/20,Texas,0.6856,0.3144
9/13/20,Tennessee,0.954725,0.045275
9/13/20,South Dakota,0.96675,0.03325
9/13/20,South Carolina,0.87075,0.12925
9/13/20,Rhode Island,0.009875,0.990125
9/13/20,Pennsylvania,0.24785,0.75215
9/13/20,Oregon,0.0867,0.9133
9/13/20,Oklahoma,0.993025,0.006975
9/13/20,Ohio,0.549075,0.450925
9/13/20,North Dakota,0.989,0.011
9/13/20,North Carolina,0.46155,0.53845
9/13/20,New York,0.001025,0.998975
9/13/20,New Mexico,0.061425,0.938575
9/13/20,New Jersey,0.02855,0.97145
9/13/20,New Hampshire,0.27375,0.72625
9/13/20,Nevada,0.200675,0.799325
9/13/20,Nebraska,0.98555,0.01445
9/13/20,NE-3,0.999525,0.000475
9/13/20,NE-2,0.3863,0.6137
9/13/20,NE-1,0.936125,0.063875
9/13/20,Montana,0.8722,0.1278
9/13/20,Missouri,0.89725,0.10275
9/13/20,Mississippi,0.87355,0.12645
9/13/20,Minnesota,0.1672,0.8328
9/13/20,Michigan,0.13675,0.86325
9/13/20,Massachusetts,0.001725,0.998275
9/13/20,Maryland,0.001525,0.998475
9/13/20,Maine,0.175225,0.824775
9/13/20,ME-2,0.576375,0.423625
9/13/20,ME-1,0.041925,0.958075
9/13/20,Louisiana,0.92045,0.07955
9/13/20,Kentucky,0.975675,0.024325
9/13/20,Kansas,0.927475,0.072525
9/13/20,Iowa,0.6705,0.3295
9/13/20,Indiana,0.953975,0.046025
9/13/20,Illinois,0.003325,0.996675
9/13/20,Idaho,0.99475,0.00525
9/13/20,Hawaii,0.011275,0.988725
9/13/20,Georgia,0.660425,0.339575
9/13/20,Florida,0.3891,0.6109
9/13/20,District of Columbia,0,1
9/13/20,Delaware,0.00175,0.99825
9/13/20,Connecticut,0.0125,0.9875
